time	V(gatedmirrorout)
6.038370804103180e-09	1.072747e+02
6.048251880613178e-09	1.068025e+02
6.057578295151722e-09	1.063919e+02
6.063700865256620e-09	1.061446e+02
6.068633848823451e-09	1.059668e+02
6.073563386772447e-09	1.058003e+02
6.078513482363993e-09	1.056536e+02
6.083636350951690e-09	1.055194e+02
6.091273773297253e-09	1.053661e+02
6.097897511196808e-09	1.052793e+02
6.102718576611539e-09	1.052473e+02
6.106922740031909e-09	1.052395e+02
6.110962865913909e-09	1.052509e+02
6.115105096939810e-09	1.052792e+02
6.119692614076582e-09	1.053295e+02
6.125620874970439e-09	1.054170e+02
6.132327431180017e-09	1.055381e+02
6.140556674922297e-09	1.056983e+02
6.150942163973692e-09	1.058851e+02
6.156573224445281e-09	1.059680e+02
6.160759660167600e-09	1.060177e+02
6.164753036792421e-09	1.060552e+02
6.168832287480358e-09	1.060833e+02
6.172977143823317e-09	1.061010e+02
6.177605647579499e-09	1.061105e+02
6.183620266415015e-09	1.061103e+02
6.190629940757401e-09	1.061004e+02
6.200306189409541e-09	1.060868e+02
6.206224475558914e-09	1.060856e+02
6.211061540231262e-09	1.060919e+02
6.216048149513306e-09	1.061059e+02
6.222309944558683e-09	1.061332e+02
6.229359343380411e-09	1.061726e+02
6.237794740712710e-09	1.062208e+02
6.247736654776247e-09	1.062589e+02
6.255773733292434e-09	1.062604e+02
6.261473771596068e-09	1.062397e+02
6.266888146437382e-09	1.062013e+02
6.272288083718653e-09	1.061447e+02
6.277250179754759e-09	1.060770e+02
6.281527661901533e-09	1.060078e+02
6.285765488453194e-09	1.059302e+02
6.289960811661049e-09	1.058458e+02
6.294495555946517e-09	1.057470e+02
6.299224286808199e-09	1.056370e+02
6.304257308458047e-09	1.055128e+02
6.309379106448006e-09	1.053796e+02
6.315241828810213e-09	1.052182e+02
6.321388364474362e-09	1.050377e+02
6.328223364071146e-09	1.048202e+02
6.335410185045999e-09	1.045678e+02
6.343602742740863e-09	1.042441e+02
6.354630696473738e-09	1.037381e+02
6.361864131409542e-09	1.033603e+02
6.369829133479798e-09	1.029047e+02
6.377879698860462e-09	1.024097e+02
6.387574137576640e-09	1.017842e+02
6.398567014134780e-09	1.010643e+02
6.414665894730750e-09	1.000517e+02
6.424969843576258e-09	9.944984e+01
6.434646617781228e-09	9.892097e+01
6.446684911133608e-09	9.829746e+01
6.459356622040938e-09	9.765597e+01
6.469750471561887e-09	9.712245e+01
6.480112140702990e-09	9.657572e+01
6.494112054333231e-09	9.581909e+01
6.505534071044223e-09	9.519707e+01
6.515742234303684e-09	9.464749e+01
6.525921114106577e-09	9.410876e+01
6.535030484234546e-09	9.363152e+01
6.544285363231058e-09	9.314342e+01
6.554282010478255e-09	9.259980e+01
6.566055861609866e-09	9.192105e+01
6.572974101022592e-09	9.149787e+01
6.579897506575707e-09	9.105478e+01
6.589034073023708e-09	9.044270e+01
6.597362403785472e-09	8.986249e+01
6.608256442053301e-09	8.908352e+01
6.616621094056663e-09	8.847762e+01
6.622049011998973e-09	8.808360e+01
6.626954488501088e-09	8.772793e+01
6.631717060122434e-09	8.738319e+01
6.635896992946754e-09	8.708090e+01
6.643001106915350e-09	8.656686e+01
6.651018653505321e-09	8.598370e+01
6.658446791321631e-09	8.543736e+01
6.666750739749907e-09	8.481708e+01
6.675723748548493e-09	8.413385e+01
6.684910441993287e-09	8.342159e+01
6.695010594832700e-09	8.262938e+01
6.706481944532106e-09	8.172978e+01
6.722047196685402e-09	8.053395e+01
6.732743334766303e-09	7.973858e+01
6.744245340155524e-09	7.890930e+01
6.758085549639654e-09	7.793863e+01
6.775075870406296e-09	7.676703e+01
6.788382114505358e-09	7.585376e+01
6.803072050724781e-09	7.484879e+01
6.819776535070096e-09	7.372212e+01
6.840352793353184e-09	7.237031e+01
6.855468552634253e-09	7.139478e+01
6.874195952938868e-09	7.017162e+01
6.891606952338227e-09	6.898672e+01
6.906032382343082e-09	6.795538e+01
6.926202843616341e-09	6.644223e+01
6.944595819504999e-09	6.500259e+01
6.957207827839727e-09	6.398544e+01
6.970798338224241e-09	6.285627e+01
6.986383456718686e-09	6.150685e+01
7.000647931737467e-09	6.021280e+01
7.014278397422841e-09	5.892381e+01
7.031451410659556e-09	5.724041e+01
7.049290933802214e-09	5.544232e+01
7.064056396524615e-09	5.392768e+01
7.081097161005962e-09	5.215150e+01
7.099240330161879e-09	5.022227e+01
7.115838820354927e-09	4.842300e+01
7.133253442460630e-09	4.651109e+01
7.152598826678784e-09	4.438047e+01
7.172622639910094e-09	4.218480e+01
7.190759432931778e-09	4.020252e+01
7.211624678789822e-09	3.791034e+01
7.232355150581073e-09	3.560688e+01
7.253628438396583e-09	3.322103e+01
7.275963719087155e-09	3.071270e+01
7.292316753909925e-09	2.888320e+01
7.310464447878580e-09	2.686284e+01
7.329501633774466e-09	2.475508e+01
7.343855594990574e-09	2.317854e+01
7.360638434319207e-09	2.136515e+01
7.378685985938878e-09	1.947626e+01
7.395261215112337e-09	1.781816e+01
7.411406194925769e-09	1.627977e+01
7.429687102904740e-09	1.463016e+01
7.439201774041100e-09	1.382932e+01
7.446869863646382e-09	1.323321e+01
7.454899158511599e-09	1.264508e+01
7.464585644219737e-09	1.196670e+01
7.475749253321237e-09	1.121817e+01
7.484442954145109e-09	1.065527e+01
7.491028425784970e-09	1.023692e+01
7.497652115667878e-09	9.820317e+00
7.505485937552079e-09	9.330754e+00
7.513015728790659e-09	8.862860e+00
7.522504125700141e-09	8.277776e+00
7.533225586064304e-09	7.624273e+00
7.544808610207267e-09	6.932467e+00
7.555326364036376e-09	6.323899e+00
7.567439540915735e-09	5.655912e+00
7.578519080907945e-09	5.084148e+00
7.593787352728415e-09	4.369240e+00
7.605022904795133e-09	3.899127e+00
7.616475950178273e-09	3.465384e+00
7.629145489661748e-09	3.030418e+00
7.646414498846608e-09	2.496216e+00
7.656458443060935e-09	2.211549e+00
7.665268277423724e-09	1.975956e+00
7.676390712500829e-09	1.698273e+00
7.687663365031017e-09	1.441104e+00
7.696602217266573e-09	1.255319e+00
7.705595409258073e-09	1.084150e+00
7.716318985585786e-09	8.978304e-01
7.727672244441734e-09	7.166071e-01
7.741630908249393e-09	5.072868e-01
7.750366630868320e-09	3.803292e-01
7.768541789867872e-09	1.201820e-01
7.779470624772538e-09	-3.286070e-02
7.791705500150754e-09	-1.983086e-01
7.801956984529389e-09	-3.308145e-01
7.812401795803610e-09	-4.601960e-01
7.825716483026566e-09	-6.200635e-01
7.838370485752473e-09	-7.714122e-01
7.857624740667141e-09	-1.010927e+00
7.882282811208514e-09	-1.339118e+00
7.895959244262127e-09	-1.526234e+00
7.941556170414979e-09	-2.137605e+00
7.958052124276682e-09	-2.361327e+00
7.972109523063946e-09	-2.557124e+00
7.986336794088988e-09	-2.758121e+00
8.003375283417898e-09	-2.995783e+00
8.021901934629877e-09	-3.242123e+00
8.039301451362460e-09	-3.458455e+00
8.058580621489909e-09	-3.683254e+00
8.080284821593800e-09	-3.920763e+00
8.096710677181546e-09	-4.087559e+00
8.118050191293189e-09	-4.277284e+00
8.139612725573443e-09	-4.428348e+00
8.157470293237981e-09	-4.520120e+00
8.178643744950997e-09	-4.593482e+00
8.197989970508091e-09	-4.629187e+00
8.214683993634931e-09	-4.634173e+00
8.234153009837621e-09	-4.604311e+00
8.250729150296314e-09	-4.545979e+00
8.266388488360708e-09	-4.463797e+00
8.284812264399509e-09	-4.337701e+00
8.301237629914867e-09	-4.201828e+00
8.313336326198480e-09	-4.088439e+00
8.341540270276618e-09	-3.777467e+00
8.358051228720201e-09	-3.563926e+00
8.378871243333832e-09	-3.265836e+00
8.401155084512692e-09	-2.921185e+00
8.413084558312494e-09	-2.728748e+00
8.424174428059527e-09	-2.545410e+00
8.439534541060928e-09	-2.284419e+00
